Word,Panned1,Panned2,Panned3,Panned4,Panned5,Panned6,Category
كورونا,فيروس,كوفيد19,حرارة,كحة,وباء,مرض,ثقافة عامة
المد و الجزر,بحر,قمر,جاذبية,محيط,حجامة,انحسار,ثقافة عامة
القطب الشمالي,ثلج,جليد,الدب,تجمد,برد,أرض,ثقافة عامة
التبخر,حرارة,ماء,غليان,درجة,سائل,بحر,ثقافة عامة
التجمد,درجة,برودة,صفر,ثلج,فريزر,سائل,ثقافة عامة
الزلزال,بركان,رختر,ناصر الشمراني,اهتزاز,أرض,كارثة,ثقافة عامة
البركان,زلزال,لافا,انفجار,دخان,جبل,كارثة,ثقافة عامة
المطر,سحاب,ماء,سماء,برق,رعد,غيم,ثقافة عامة
شبه الجزيرة,العربية,ماء ,يابس,قطر,جهات,بحر,ثقافة عامة
درجة الغليان,تجمد,ماء,سائل,تبخر,حرارة,شاي,ثقافة عامة
قانون فيثاغورس,رياضايات,جبر,عالم,حساب,مثلثات,زاوية,ثقافة عامة
بوينج,طيران,سفر,مطار,ركاب,ايرباص,الخطوط,ثقافة عامة
DVD,CD,كمبيوتر,ميجا,جيجا,أفلام,قديم,ثقافة عامة
CD,DVD,كمبيوتر,ميجا,جيجا,برامج,قديم,ثقافة عامة
شاحن متنقل,ليثيوم,USB,جوال,بطارية,سلك,جهاز,ثقافة عامة
سماعات بلوتوث,جوال,بدون سلك,صوت,اتصال,اذن,أغنية,ثقافة عامة
الجاذبية,نيوتن,تفاحة,الأرض,التوازن,9.18,قانون,ثقافة عامة
العمود الفقري,عظام,طهر,هيكل,الحبل الشوكي,جسم الانسان,انزلاق غضروفي ,ثقافة عامة
القلب,جسد الانسان,الدم,الوريد,الشريان,الحب,مضخة,ثقافة عامة
رئة المدخن,تنفس,وردي,شيشة,تدخين,هواء,أنف,ثقافة عامة
سرير دورين,نوم,فوق,تحت,غرفة,إخوان,توأم,ثقافة عامة
حقيبة لابتوب,شنطة,جهاز,دوام عن بعد,عمل,تحمي,سحاب,ثقافة عامة
لابتوب,جهاز,محمول,كمبيوتر,دوام عن بعد,عمل,إيميل,ثقافة عامة
شواية,لحم,دجاج,فحم,جمر,نار,برجر,ثقافة عامة
بروجكتر,افلام,سينما,فشار,مسلسلات,ناتشوز,ظلام,ثقافة عامة
ماجلان,عالم,الكرة الأرضية,أمريكا,رحالة,سفينة,فلبين,ثقافة عامة
الكرة الأرضية,كوكب,عالم,الشمس,جاذبية,إنسان,قمر,ثقافة عامة
آسيا,قارة,دول,اليابان,السعودية,الصين,الخليج,ثقافة عامة
أطلس,دول,جغرافيا,تاريخ,معلومات,صور,خرائط,ثقافة عامة
بترول,أرامكو,سابك,حفر,بنزين,91/95,نفط,ثقافة عامة
شركة أرامكو,بترول,الشرقية,الظهران,نفط,اكتتاب,سابك,ثقافة عامة
لوحة الموناليزا,ليوناردو ,دافنشي,جيوكاندا,اللوفر,رسمة,ابتسامة,ثقافة عامة
أحمد شوقي,شاعر,مصر,أمير الشعراء,المتنبي,قم للمعلم,بيت,ثقافة عامة
المتنبي,شاعر,الأخطل,جرير,الدولة الفاطمية,بيت,قافية,ثقافة عامة
كوكب الزهرة,الشمس,الأرض,عطارد,قريب,الثاني,فضاء,ثقافة عامة
البحر الميت,الأردن,ملح,سباحة,اسماك,أخفض,سياحة,ثقافة عامة
مثلث برمودا,سفر,طيارات,ضياع,اختفاء,مفقود,خطف,ثقافة عامة
قوس قزح,الوان,سبعة,أحمر,أزرق,أصفر,مطر,ثقافة عامة
طبقة الأوزون,أكسجين,السماء,ثقب,السحب,طيارة,غازات,ثقافة عامة
مذنب هالي,67 سنة,الفضاء,كوكب,نجم,الشمس,الأرض,ثقافة عامة
نظرية التطور,دارون,قرد,الانسان,البشر,معارضة,تحول,ثقافة عامة
رصاصة الرحمة,قتل,مسدس,النهاية,الختام,إنسان,طلقة,ثقافة عامة
الثريا,السماء,الثرى,لمبة,بيت,اضاءة,سقف,ثقافة عامة
نون النسوة,جمع,مؤنث,عدد,لغة عربية,اعراب,بنات,ثقافة عامة
سن المراهقة,عمر,شاب,بلوغ,المتوسطة,أم,أب,ثقافة عامة
طاولة الطعام,عائلة,وجبة,أكل,غداء,عشاء,اجتماع,ثقافة عامة
سوق الأسهم,بيع,شراء,افتتاح,سعر,ربح,خسارة,ثقافة عامة
بيتهوفن,موسيقى,سمفونية,قديم,كلاسيكس,اوبرا,موزارت,ثقافة عامة
حدائق فرساي,فن,فرنسا,باريس,منظر,ثقافة,سفر,ثقافة عامة
مودم إنترنت,واي فاي,شبكة,اتصال,جوال,رقم سري,سلك,ثقافة عامة
كحل,مكياج,روج,مناكير,عين,إثمد,أسود,ثقافة عامة
كورسيه,ملابس,فستان,ضيق,نحيف,سمين,زواج,ثقافة عامة
مجرة درب التبانة,كون,شمس,الأرض,نجوم,كواكب,قمر,ثقافة عامة
فيسبوك,تواصل ,برنامج,مصر,بوست,لايك,تطبيق,ثقافة عامة
تويتر,تواصل ,برنامج,تغريدة,ثريد,ريتويت,تطبيق,ثقافة عامة
تيك توك,تواصل ,برنامج,فيديو,تطبيق,استهبال,أغاني,ثقافة عامة
سناب شات,تواصل ,برنامج,فيديو,ثواني,تطبيق,كاميرا,ثقافة عامة
Linkedin,تواصل ,برنامج,وظيفة,مقابلة,تطبيق,عمل,ثقافة عامة
انستجرام,تواصل ,برنامج,فيديو,تطبيق,صور,لايك,ثقافة عامة
فوكس سينما,أفلام,فشار,واجهة الرياض,كراسي,ممثل,مخرج,ثقافة عامة
التحنيط,جثة,فرعون,موت,حفاظ,مصر,حيوانات,ثقافة عامة
ثقب الاوزون,طبقة,غلاف جوي,البيئة,السماء,أكسجين,تلوث,ثقافة عامة
متلازمة ستوكهولم,السويد,نفس,رهينة,سطو,تعلق,حب,ثقافة عامة
تيسلا,سيارة,الكترونية,اليون ماسك,قيادة,بنزين,أمريكا,ثقافة عامة
الحوت الأزرق,حيوان,بحر,سمك,أكبر,القرش,دولفين,ثقافة عامة
الإنترنت,اتصال,بيانات,جوال,كمبيوتر,ألياف,شبكة,ثقافة عامة
الدماغ,مخ,جسم,الإنسان,الجهاز العصبي,الدم,الجمجمة,ثقافة عامة
